Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.,non-JD,none
"LUETKEMEYER, Blaine","['a Representative from Missouri; born in Jefferson City, Cole County, \r', 'Mo., May 7, 1952; B.A., Lincoln University, Jefferson City, Mo., 1974; business \r', 'owner; banker; rancher; member of the St. Elizabeth, Mo., board of trustees, \r', '1978-1987; member of the Missouri state house of representatives, 1999-2005; \r', 'director, tourism commission of Missouri, 2006-2008; elected as a Republican to \r', 'the One Hundred Eleventh and to the four succeeding Congresses (January 3, \r', '2009-present).\r']",L000569,1,0,0,0,0,0,0,0,0,0,0,1
"LUJ&Aacute;N, Ben Ray","['a Representative from New Mexico; born in Santa Fe, Santa Fe County, \r', 'N.Mex., June 7, 1972; graduated from Pojoaque Valley High School, Santa Fe, N. \r', 'Mex., 1990; attended University of New Mexico, Albuquerque, N.Mex., 1990-1995; \r', 'B.B.A., New Mexico Highlands University, Las Vegas, N.Mex., 2007; member of the \r', 'N.Mex. public regulation commission, 2004-2008; chairman, N.Mex. public \r', 'regulation commission, 2005-2007; N.Mex. deputy state treasurer; director of \r', 'administrative services, N.Mex. state cultural affairs department; chief \r', 'financial officer, N.Mex. state cultural affairs department; elected as a \r', 'Democrat to the One Hundred Eleventh and to the four succeeding Congresses \r', '(January 3, 2009-present).\r']",L000570,1,0,0,0,0,0,0,0,0,0,0,1
"LUJAN GRISHAM, Michelle","['a Representative from New Mexico; born in Los Alamos, Los Alamos \r', 'County, N.Mex., October 24, 1959; graduated from St. Michael&#146;s High School, \r', 'Santa Fe, N.Mex., 1977; B.S., University of New Mexico, Albuquerque, N.Mex., \r', '1981; J.D., University of New Mexico, 1987; lawyer, New Mexico state bar \r', 'association; business executive; director, New Mexico state agency on aging, \r', '1991-2002; New Mexico secretary of aging and long-term services, 2002-2004; New \r', 'Mexico secretary of health, 2004-2007; unsuccessful nominee for election to the \r', 'One Hundred Eleventh Congress in 2008; Bernalillo County, N.Mex., board of \r', 'commissioners, 2010-2012; elected as a Democrat to the One Hundred Thirteenth \r', 'Congress and to the two succeeding Congresses (January 3, \r', '2013-present).\r']",L000580,0,1,1,0,0,0,0,0,0,0,0,0
"LUMMIS, Cynthia M.","['a Representative from Wyoming; born in Cheyenne, Laramie County, Wyo., September 10, 1954; B.S., University of Wyoming, Laramie, Wyo., 1976; B.A., University of Wyoming, 1978; J.D., University of Wyoming College of Law, Laramie, Wyo., 1985; rancher; lawyer, private practice; staff, Wyoming Governor Jim Geringer, 1994-1996; member of Wyoming state house of representatives, 1979-1983, 1985-1993; member of Wyoming state senate, 1993-1995; Wyoming state treasurer, 1999-2007; Wyoming state lands and investment acting director, 1997-1998; elected as a Republican to the One Hundred Eleventh and to the three succeeding Congresses (January 3, 2009-January 3, 2017); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016. \r']",L000571,1,1,1,0,0,0,0,0,0,0,0,0
"LYNCH, Stephen F.","['a Representative from Massachusetts; born in Boston, Suffolk County, \r', 'Mass., March 31, 1955; graduated from South Boston High School, Boston, Mass., \r', '1973; B.S., Wentworth Institute, Boston, Mass., 1988; J.D., Boston College, \r', 'Chestnut Hill, Mass., 1991; M.A., Harvard University, Cambridge, Mass., 1998; \r', 'member of the Massachusetts state house of representatives, 1995-1996; member \r', 'of the Massachusetts state senate, 1997-2001; elected as a Democrat to the One \r', 'Hundred Seventh Congress, by special election, to fill the vacancy caused by \r', 'the death of United States Representative Joseph Moakley, and reelected to the \r', 'eight succeeding Congresses (October 16, 2001-present).\r']",L000562,0,1,1,0,0,1,0,0,0,0,1,0
"MAFFEI, Daniel B.","['a Representative from New York; born in Syracuse, Onondaga County, \r', 'N.Y., July 4, 1968; graduated from Nottingham High School, Syracuse, N.Y., \r', '1986; B.A., Brown University, Providence, R.I., 1990; M.S., Columbia \r', 'University, New York, N.Y., 1991; M.P.P., Harvard University, Cambridge, Mass., \r', '1995; business executive; journalist; staff, United States Senator Bill Bradley \r', 'of New Jersey, 1996; staff, United States Senator Daniel Patrick Moynihan of \r', 'New York, 1997-1998; staff, United States Representative Charles B. Rangel of \r', 'New York, 1999-2005; staff, United States House of Representatives Committee on \r', 'Ways and Means, 1999-2005; campaign staff, Syracuse, N.Y. Mayor Matthew J. \r', 'Driscoll, 2005; unsuccessful candidate for election to the One Hundred Tenth \r', 'Congress in 2006; elected as a Democrat to the One Hundred Eleventh Congress \r', '(January 3, 2009-January 3, 2011); unsuccessful candidate for reelection to the \r', 'One Hundred Twelfth Congress in 2010; elected as a Democrat to the One Hundred \r', 'Thirteenth Congress (January 3, 2013-January 3, 2015); unsuccessful candidate \r', 'for reelection to the One Hundred Fourteenth Congress in 2014.\r']",M001171,1,0,0,0,0,0,1,0,0,0,1,0
"MALONEY, Carolyn Bosher","['a Representative from New York; born in Greensboro, Guilford County, \r', 'N.C., February 19, 1946; B.A., Greensboro College, Greensboro, N.C., 1968; \r', 'community affairs coordinator, New York, N.Y., board of education welfare \r', 'education program, 1972-1975; staff, New York, N.Y., board of education center \r', 'for career and occupational education, 1975-1976; staff, New York state \r', 'assembly committee on housing, 1977; senior program analyst, New York state \r', 'assembly committee on cities, 1977-1979; executive director, advisory council, \r', 'office of the New York state senate minority leader, 1979-1982; director of \r', 'special projects, office of the New York state senate minority leader, \r', '1980-1982; member of the New York, N.Y., city council, 1982-1992; elected as a \r', 'Democrat to the One Hundred Third and to the twelve succeeding Congresses \r', '(January 3, 1993-present); chair, Joint Economic Committee (One Hundred \r', 'Eleventh Congress).\r']",M000087,1,0,0,0,0,0,0,0,0,0,0,1
"MALONEY, Sean Patrick","['a Representative from New York; born in Sherbrooke, Quebec, Canada, \r', 'July 30, 1966; graduated from Hanover High School, Hanover, N.H., 1984; \r', 'attended Georgetown University, Washington, D.C., 1986; B.A., University of \r', 'Virginia, Charlottesville, Va., 1988; J.D., University of Virginia, \r', 'Charlottesville, Va., 1992; campaign aide; lawyer, private practice; \r', 'businessman; staff secretary to President William J. Clinton, 1997-2000; \r', 'unsuccessful candidate for nomination for New York attorney general in 2006; \r', 'first deputy secretary to New York Governor Eliot Spitzer, 2007-2008; elected \r', 'as a Democrat to the One Hundred Thirteenth and to the two succeeding \r', 'Congresses (January 3, 2013-present).\r']",M001185,1,0,1,0,0,0,0,0,0,0,0,0
"MARCHANT, Kenny","['a Representative from Texas; born in Bonham, Fannin County, Tex., \r', 'February 23, 1951; B.A., South Nazarene University, Bethany, Okla., 1974; \r', 'attended Nazarene Theological Seminary, Kansas City, Mo., 1975-1976; real \r', 'estate developer; member of the Carrollton, Tex., city council, 1980-1984; \r', 'mayor of Carrollton, Tex., 1984-1987; member of the Texas state house of \r', 'representatives, 1987-2004; elected as a Republican to the One Hundred Ninth \r', 'and to the six succeeding Congresses (January 3, 2005-present).\r']",M001158,1,0,0,0,0,0,0,0,0,0,0,1
"MARINO, Thomas A.","['a Representative from Pennsylvania; born in Williamsport, Lycoming \r', 'County, Pa., August 15, 1952; graduated from Williamsport Area High School, \r', 'Williamsport, Pa., 1970; A.A., Williamsport Area Community College, \r', 'Williamsport, Pa., 1983; B.A., Lycoming College, Williamsport, Pa., 1985; J.D., \r', 'Dickinson School of Law, Carlisle, Pa., 1988; manufacturing manager; lawyer, \r', 'private practice; Lycoming County, Pa., district attorney, 1992-2002; United \r', 'States attorney for the Middle District of Pennsylvania, 1992-2002; elected as \r', 'a Republican to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",M001179,1,0,1,0,0,0,0,0,0,0,0,0
"MASSIE, Thomas","['a Representative from Kentucky; born in Huntington, Cabell County, \r', 'W.Va., January 13, 1971; graduated from Lewis County High School, Vanceburg, \r', 'Ky.; S.B., Massachusetts Institute of Technology, Cambridge, Mass., 1993; S.M., \r', 'Massachusetts Institute of Technology, Cambridge, Mass., 1996; business owner; \r', 'farmer; judge executive, Lewis County, Ky., 2010-2012; elected simultaneously \r', 'as a Republican to the One Hundred Twelfth  and One Hundred Thirteenth \r', 'Congresses, by special election, to fill the vacancy caused by the resignation of \r', 'United States Representative Geoffrey C. (Geoff) Davis, and reelected to the two \r', 'succeeding Congresses (November 6, 2012-present).\r']",M001184,0,1,0,0,0,0,0,0,0,0,0,1
"MATHESON, James David (Jim)","['a Representative from Utah; born in Salt Lake City, Salt Lake \r', 'County, Utah, March 21, 1960; A.B., Harvard University, Cambridge, Mass., 1982; \r', 'M.B.A., University of California, Los Angeles, Calif., 1987; business \r', 'consultant; business owner; elected as a Democrat to the One Hundred Seventh \r', 'and to the six succeeding Congresses (January 3, 2001-January 3, 2015); was not \r', 'a candidate for reelection to the One Hundred Fourteenth Congress in 2014. \r']",M001142,1,0,0,0,1,0,0,0,0,0,1,0
"MATSUI, Doris","[' (wife of Robert Matsui), \r', 'a Representative from California; born in Poston, La Paz County, \r', 'Arizona, September 25, 1944; B.A., University of California, Berkeley, Calif., \r', '1966; staff, transition team for President-elect William J. Clinton, 1992-1993; \r', 'deputy assistant, Office of the Public Liaison, President William J. Clinton \r', 'administration, 1993-1998; professional advocate; elected as a Democrat to the \r', 'One Hundred Ninth Congress, by special election, to fill the vacancy caused by \r', 'the death of her husband, United States Representative Robert Matsui, and \r', 'reelected to the six succeeding Congresses (March 8, 2005-present). \r']",M001163,1,0,0,0,0,0,0,0,0,0,0,1
"McCARTHY, Carolyn","['a Representative from New York; born Carolyn Cook in Brooklyn, Kings \r', 'County, N.Y., January 5, 1944; graduated from Mineola High School, Garden City \r', 'Park, N.Y., 1962; graduated from Glen Cove Nursing School, Glen Cove, N.Y., \r', '1964; licensed practical nurse in ICU section, Glen Cove Hospital, Glen Cove, \r', 'N.Y.; elected as a Democrat to the One Hundred Fifth and to the eight \r', 'succeeding Congresses (January 3, 1997-January 3, 2015), was not a candidate \r', 'for reelection to the One Hundred Fourteenth Congress in 2014.\r']",M000309,0,0,0,0,0,0,0,0,0,0,0,1
"MCCARTHY, Kevin","['a Representative from California; born in Bakersfield, Kern County, \r', 'Calif., January 26, 1965; attended Bakersfield College, Bakersfield. Calif., \r', '1984-1985; B.S., California State University, Bakersfield, Calif., 1989; \r', 'M.B.A., California State University, Bakersfield, Calif., 1994; staff, United \r', 'States Representative William Thomas of California, 1987-2002; member of the \r', 'California state assembly, 2002-2007, minority leader, 2004-2006; elected as a \r', 'Republican to the One Hundred Tenth and to the five succeeding Congresses \r', '(January 3, 2007-present); majority whip (One Hundred Twelfth and One Hundred \r', 'Thirteenth Congresses); majority leader (One Hundred Thirteenth through One \r', 'Hundred Fifteenth Congresses).\r']",M001165,1,1,0,0,1,0,0,0,0,0,1,0
"McCAUL, Michael T.","['a Representative from Texas; born in Dallas, Dallas County, Tex., \r', 'January 14, 1962; B.S., Trinity University, San Antonio, Tex., 1984; J.D., St. \r', 'Mary&#x2019;s University, San Antonio, Tex., 1987; lawyer, private practice; \r', 'deputy attorney general, office of the Texas state attorney general; elected as \r', 'a Republican to the One Hundred Ninth and to the six succeeding Congresses \r', '(January 3, 2005-present); chair, Committee on Homeland Security (One Hundred \r', 'Thirteenth through One Hundred Fifteenth Congresses). \r']",M001157,0,1,1,0,0,0,0,0,0,0,0,0
"McCLINTOCK, Tom","['a Representative from California; born in Bronxville, Westchester \r', 'County, N.Y., July 10, 1956; B.A., University of California, Los Angeles, \r', 'Calif., 1988; journalist; public policy analyst; member of the California state \r', 'assembly, 1982-1992, 1996-2000; member of the California state senate, \r', '2000-2008; unsuccessful candidate for election to the One Hundred Third \r', 'Congress in 1992; unsuccessful candidate for election for Governor of \r', 'California in 2003; elected as a Republican to the One Hundred Eleventh and to \r', 'the four succeeding Congresses (January 3, 2009-present).\r']",M001177,1,0,0,0,0,0,0,0,0,0,0,1
"McCOLLUM, Betty","[' a Representative from Minnesota; born in Minneapolis, Hennepin \r', 'County, Minn., July 12, 1954; graduated from South St. Paul High School, St. \r', 'Paul, Minn., 1972; graduated from University of St. Catherine, St. Paul, Minn.; \r', 'member of the Minnesota state house of representatives, 1992-2001; elected as a \r', 'Democrat to the One Hundred Seventh and to the eight succeeding Congresses \r', '(January 3, 2001-present).\r']",M001143,0,0,0,0,0,0,0,0,0,0,0,1
"McDERMOTT, James A.","['a Representative from Washington; born in Chicago, Cook County, Ill., December 28, 1936; B.S., Wheaton College, Wheaton, Ill., 1958; M.D., University of Illinois, Chicago, Ill., 1963; residence in adult psychiatry, University of Illinois hospitals, 1964-1966; residency in child psychiatry, University of Washington hospitals, Seattle, Wash., 1966-1968; United States Navy Medical Corps, 1968-1970; psychiatrist; faculty member, University of Washington, Seattle, Wash., 1970-1983; member of the Washington state house of representatives, 1971-1972; unsuccessful candidate for nomination as Governor of Washington in 1972; member of the Washington state senate, 1975-1987; unsuccessful candidate for election as governor of Washington in 1980; unsuccessful candidate for nomination as Governor of Washington in 1984; medical officer, United States Foreign Service, 1987-1988; elected as a Democrat to the One Hundred First and to the thirteen succeeding Congresses (January 3, 1989-January 3, 2017); chair, Committee on Standards of Official Conduct (One Hundred Third Congress); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016.  \r']",M000404,0,1,0,0,0,0,0,0,1,0,1,0
"McGOVERN, James P.","['a Representative from Massachusetts; born in Worcester, Worcester \r', 'County, Mass., November 20, 1959; graduated from Worcester Academy, Worcester, \r', 'Mass.; B.A., American University, Washington, D.C., 1981; M.P.A., American \r', 'University, Washington, D.C., 1984; presidential campaign staff, United States \r', 'Senator George McGovern of South Dakota, 1984; staff, United States \r', 'Representative Joseph Moakley of Massachusetts, 1982-1996; elected as a \r', 'Democrat to the One Hundred Fifth and to the ten succeeding Congresses (January \r', '3, 1997-present).\r']",M000312,1,0,0,0,0,0,0,0,0,0,0,1
"McHENRY, Patrick T.","['a Representative from North Carolina; born in Charlotte, Mecklenburg \r', 'County, N.C., October 22, 1975; graduated Ashbrook High School, Gastonia, N.C., \r', '1994; attended North Carolina State University, Raleigh, N.C.; B.A., Belmont \r', 'Abbey College, Belmont, N.C., 1999; realtor; appointed special assistant to the \r', 'United States Secretary of Labor by President George W. Bush in 2001; member of \r', 'the North Carolina state house of representatives, 2002-2004; elected as a \r', 'Republican to the One Hundred Ninth and to the six succeeding Congresses \r', '(January 3, 2005-present).\r']",M001156,1,0,0,0,0,0,0,0,0,0,0,1
"McINTYRE, Mike","['a Representative from North Carolina; born in Lumberton, Robeson \r', 'County, N.C., August 6, 1956; graduated from Lumberton High School, Lumberton, \r', 'N.C., 1974; B.A., University of North Carolina, Chapel Hill, N.C., 1978; J.D., \r', 'University of North Carolina, Chapel Hill, N.C., 1981; lawyer, private \r', 'practice; delegate to the Democratic National Convention, 1980; North Carolina \r', 'commission on children and youth, 1987-1989; North Carolina commission on the \r', 'family, 1989-1991; elected as a Democrat to the One Hundred Fifth and to the \r', 'eight succeeding Congresses (January 3, 1997-January 3, 2015); was not a \r', 'candidate for renomination to the One Hundred Fourteenth Congress in 2014. \r']",M000485,1,0,1,0,0,0,0,0,0,0,0,0
"McKEON, Howard P. (Buck)","['a Representative from California; born in Los Angeles, Los Angeles \r', 'County, Calif., September 9, 1938; graduated from Verdugo Hills High School, \r', 'Tujunga, Calif.; B.S., Brigham Young University, Provo, Utah, 1985; business \r', 'owner; chairman and trustee, William S. Hart School District, Santa Clarita \r', 'Valley, Calif., 1979-1987; bank executive; mayor and council member of Santa \r', 'Clarita Valley, Calif., 1987-1992; member of the California Republican Central \r', 'Committee, 1988-1992; elected as a Republican to the One Hundred Third and to \r', 'the ten succeeding Congresses (January 3, 1993-January 3, 2015); was not a \r', 'candidate for reelection to the One Hundred Fourteenth Congress in 2014; chair, \r', 'Committee on Education and the Workforce (One Hundred Ninth Congress); chair, \r', 'Committee on Armed Services (One Hundred Twelfth and One Hundred Thirteenth \r', 'Congresses).\r']",M000508,0,1,0,0,0,0,0,0,0,0,0,1
"McKINLEY, David","['a Representative from West Virginia; born in Wheeling, Ohio County, \r', 'W. Va., March 28, 1947; B.S.C.E., Purdue University, West Lafayette, Ind., \r', '1969; civil engineer; business owner; member of the West Virginia state house \r', 'of representatives, 1980-1995; chairman, West Virginia Republican Party, \r', '1990-1994; unsuccessful candidate for the Republican nomination for Governor of \r', 'West Virginia in 1996; elected as a Republican to the One Hundred Twelfth and \r', 'to the three succeeding Congresses (January 3, 2011-present).\r']",M001180,0,1,0,0,0,0,0,0,0,0,0,1
"McMORRIS RODGERS, Cathy","['a Representative from Washington; born in Salem, Marion County, \r', 'Oreg., May 22, 1969; graduated from Kettle Falls High School, Kettle Falls, \r', 'Wash., 1986; B.A., Pensacola Christian College, Pensacola, Fla., 1990; M.B.A., \r', 'University of Washington, Seattle, Wash., 2002; family orchard business; member \r', 'of the Washington state house of representatives, 1994-2004, minority leader, \r', '2002-2003; elected as a Republican to the One Hundred Ninth and to the six \r', 'succeeding Congresses (January 3, 2005-present); chair, House Republican \r', 'Conference (One Hundred Thirteenth through One Hundred Fifteenth \r', 'Congresses).\r']",M001159,1,0,0,0,1,0,0,0,0,0,1,0
"McNERNEY, Jerry","['a Representative from California; born in Albuquerque, Bernalillo \r', 'County, N.Mex., June 18, 1951; attended the United States Military Academy, \r', 'West Point, N.Y., 1969-1971; B.S., University of New Mexico, Albuquerque, \r', 'N.Mex., 1973; M.S., University of New Mexico, Albuquerque, N.Mex., 1975; Ph.D., \r', 'University of New Mexico, Albuquerque, N.Mex., 1981; engineer; business owner; \r', 'unsuccessful candidate for election to the One Hundred Ninth Congress in 2004; \r', 'elected as a Democrat to the One Hundred Tenth and to the five succeeding \r', 'Congresses (January 3, 2007-present).\r']",M001166,0,1,0,1,0,0,1,0,0,0,1,0
"MEADOWS, Mark","['a Representative from North Carolina; born in Verdun, France, July \r', '28, 1959; attended Florida State University, Tallahassee, Fla.; B.A., \r', 'University of South Florida, Tampa, Fla.; public relations director; business \r', 'owner; elected as a Republican to the One Hundred Thirteenth and to the two \r', 'succeeding Congresses (January 3, 2013-present).\r']",M001187,1,0,0,0,0,0,0,0,0,0,0,1
"MEEHAN, Patrick","['a Representative from Pennsylvania; born in Cheltenham, Montgomery County, Pa., October 20, 1955; graduated from Chestnut Hill Academy, Philadelphia, Pa., 1974; B.A., Bowdoin College, Brunswick, Maine, 1978; J.D., Temple University, Philadelphia, Pa., 1986; lawyer, private practice; United States Attorney for the Eastern District of Pennsylvania, 2001-2008; staff, United States Senator Arlen Specter, 1991-1994; Delaware County, Pa., district attorney, 1996-2001; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses until his resignation on April 27, 2018 (January 3, 2011-April 27, 2018). \r']",M001181,1,0,1,0,0,0,0,0,0,0,0,0
"MEEKS, Gregory W.","[' a Representative from New York; born in East Harlem, New York \r', 'County, N.Y., September 25, 1953; graduated from Julia Richman High School, New \r', 'York, N.Y., 1971; B.A., Adelphi University, Garden City, N.Y., 1975; J.D., \r', 'Howard University, Washington, D.C., 1978; lawyer; Queens County, N.Y. \r', 'assistant district attorney, 1978-1983; assistant special narcotics prosecutor, \r', 'New York, N.Y.; deputy counsel, New York state investigation commission, \r', '1984-1985; supervising judge, New York state workers compensation board, \r', '1985-1992; member of the New York state assembly, 1992-1998; elected as a \r', 'Democrat to the One Hundred Fifth Congress, by special election, to fill the \r', 'vacancy caused by the resignation of United States Representative Floyd H. \r', 'Flake, and to the ten succeeding Congresses (February 3, \r', '1998-present).\r']",M001137,1,0,1,0,0,0,0,0,0,0,0,0
"MENG, Grace","['a Representative from New York; born in Queens, Queens County, N.Y., \r', 'October 1, 1975; graduated from Stuyvesant High School, New York, N.Y., 1993; \r', 'A.B., University of Michigan, Ann Arbor, Mich., 1997; J.D., Yeshiva University, \r', 'New York City, N.Y., 2002; lawyer, private practice; member of the New York \r', 'state assembly, 2009-2012; elected as a Democrat to the One Hundred Thirteenth \r', 'and to the two succeeding Congresses (January 3, 2013-present).\r']",M001188,1,0,1,0,0,0,0,0,0,0,0,0
"MESSER, Luke","['a Representative from Indiana; born in Evansville, Vanderburgh \r', 'County, Ind., February, 27, 1969; graduated from Greensburg Community High \r', 'School, Greensburg, Ind., 1987; B.A., Wabash College, Crawfordsville, Ind., \r', '1991; J.D., Vanderbilt University, Nashville, Tenn., 1994; lawyer, private \r', 'practice; staff, United States Representative John J. Duncan, Jr., of \r', 'Tennessee, 1997; staff, United States Representative Ed Bryant of Tennessee, \r', '1998; staff, United States House of Representatives Committee on Government \r', 'Reform, 1999; executive director, Indiana Republican Party, 2001-2005; member \r', 'of the Indiana state house of representatives, 2003-2006; unsuccessful \r', 'candidate for nomination to the One Hundred Seventh Congress in 2000; \r', 'unsuccessful candidate for nomination to the One Hundred Twelfth in 2010; \r', 'elected as a Republican to the One Hundred Thirteenth and to the two succeeding \r', 'Congresses (January 3, 2013-present).\r']",M001189,1,0,1,0,0,0,0,0,0,0,0,0
"MICA, John L.","[' (brother of Daniel Andrew Mica), \r', 'a Representative from Florida; born in Binghamton, Broome County, \r', 'N.Y., January 27, 1943; graduated from Miami-Edison High School, Miami, Fla.; \r', 'A.A., Miami-Dade Community College, Miami, Fla., 1965; B.A., University of \r', 'Florida, Gainesville, Fla., 1967; businessman; member of the Florida state \r', 'house of representatives, 1977-1981; staff, United States Senator Paula F. \r', 'Hawkins of Florida, 1981-1985; elected as a Republican to the One Hundred Third \r', 'and to the eleven succeeding Congresses (January 3, 1993-January 3, 2017); \r', 'chair, Committee on Transportation and Infrastructure (One Hundred Twelfth \r', 'Congress); unsuccessful candidate for reelection to the One Hundred Fifteenth \r', 'Congress in 2016. \r']",M000689,1,0,0,0,0,0,0,0,0,0,0,1
"MICHAUD, Michael H.","['a Representative from Maine; born in Millinocket, Penobscot County, \r', 'Maine, January 18, 1955; graduated from Schenck High School, East Millinocket, \r', 'Maine, 1973; mill worker; member of the Maine state house of representatives, \r', '1980-1994; member of the Maine state senate, 1994-2002, president, 2001, \r', 'president pro tempore, 2002; elected as a Democrat to the One Hundred Eighth \r', 'and to the five succeeding Congresses (January 3, 2003-January 3, 2015); was \r', 'not a candidate for renomination to the One Hundred Fourteenth Congress in \r', '2014, but was an unsuccessful candidate for Governor of Maine.\r']",M001149,0,0,0,0,0,0,0,0,0,0,0,1
"MILLER, Candice S.","['a Representative from Michigan; born in Detroit, Wayne County, \r', 'Mich., May 7, 1954; graduated from Lakeshore High School, St. Clair Shores, \r', 'Mich.; attended Macomb County Community College, Warren, Mich.; attended \r', 'Northwood Institute; trustee, Harrison Township Board, Harrison Township, \r', 'Mich., 1979-1980; Harrison Township, Mich., supervisor, 1980-1992; Macomb \r', 'County, Mich., treasurer, 1992-1994; Michigan secretary of state, 1994-2002; \r', 'elected as a Republican to the One Hundred Eighth and to the six succeeding \r', 'Congresses until her resignation on December 31, 2016 (January 3, 2003-December \r', '31, 2016); was not a candidate for reelection to the One Hundred Fifteenth \r', 'Congress in 2016; chair, Committee on House Administration (One Hundred \r', 'Thirteenth and One Hundred Fourteenth Congresses); Macomb County, Mich., public \r', 'works commissioner, 2017-present.\r']",M001150,0,0,0,0,0,0,0,0,0,0,0,1
"MILLER, Gary G.","['a Representative from California; born in Huntsville, Madison \r', 'County, Ark., October 16, 1948; attended California High School, Whittier, \r', 'Calif.; attended Lowell High School, La Habra, Calif.; attended Mount San \r', 'Antonio College, Walnut, Calif.; United States Army, 1967; business owner; \r', 'member of the Diamond Bar, Calif., municipal advisory council, 1988; member of \r', 'the Diamond Bar, Calif., city council, 1989; Mayor of Diamond Bar, Calif., \r', '1992; member of the California state assembly, 1995-1999; elected as a \r', 'Republican to the One Hundred Sixth and to the seven succeeding Congresses \r', '(January 3, 1999-January 3, 2015); was not a candidate for reelection to the \r', 'One Hundred Fourteenth Congress in 2014.\r']",M001139,0,0,0,0,0,0,0,0,0,0,0,1
"MILLER, George","['a Representative from California; born in Richmond, Contra Costa \r', 'County, Calif., May 17, 1945; A.A., Diablo Valley College, Pleasant Hill, \r', 'Calif., 1965; A.B., San Francisco State University, San Francisco, Calif., \r', '1968; J.D., University of California Law School, Davis, Calif., 1972; lawyer, \r', 'private practice; staff, California state senate majority leader, 1969-1974; \r', 'elected as a Democrat to the Ninety-fourth and to the nineteen succeeding \r', 'Congresses (January 3, 1975-January 3, 2015); was not a candidate for \r', 'reelection to the One Hundred Fourteenth Congress in 2014; chair, Select \r', 'Committee on Children, Youth, and Families (Ninety-eighth through One Hundred \r', 'First Congresses); chair, Committee on Natural Resources (One Hundred Second \r', 'and One Hundred Third Congresses); chair, Committee on Education and Labor (One \r', 'Hundred Tenth and One Hundred Eleventh Congresses).\r']",M000725,1,0,1,0,0,0,0,0,0,0,0,0
"MILLER, Jefferson B. (Jeff)","['a Representative from Florida; born in Pinellas County, Fla., June \r', '27, 1959; B.A., University of Florida, Gainesville, Fla., 1984; real estate \r', 'broker; sheriff&#146;s deputy, Gilchrist County, Fla.; member of the Florida state \r', 'house of representatives, 1998-2001; elected as a Republican to the One Hundred \r', 'Seventh Congress, by special election, to fill the vacancy caused by the \r', 'resignation of United States Representative Joseph Scarborough and reelected to \r', 'the seven succeeding Congresses (October 16, 2001-January 3, 2017); chair, \r', 'Committee on Veterans&#146; Affairs (One Hundred Twelfth through One Hundred \r', 'Fourteenth Congresses); was not a candidate for reelection to the One Hundred \r', 'Fifteenth Congress in 2016. \r']",M001144,1,0,0,0,0,0,0,0,0,0,0,1
"MOORE, Gwendolynne S. (Gwen)","['a Representative from Wisconsin; born in Racine, Racine County, \r', 'Wis., April 18, 1951; graduated from Northern Division High School, Milwaukee, \r', 'Wis., 1969; B.A., Marquette University, Milwaukee, Wis., 1978; housing officer, \r', 'Wisconsin housing and development authority; member of the Wisconsin state \r', 'assembly, 1989-1992; member of the Wisconsin state senate, 1993-2004, president \r', 'pro tempore, 1997-1998; elected as a Democrat to the One Hundred Ninth and to \r', 'the six succeeding Congresses (January 3, 2005-present).\r']",M001160,1,0,0,0,0,0,0,0,0,0,0,1
"MORAN, James P.","['a Representative from Virginia; born in Buffalo, Erie County, N.Y., \r', 'May 16, 1945; B.A., College of the Holy Cross, Worcester, Mass., 1967; attended \r', 'the Bernard Baruch School of Finance, City University of New York, New York, \r', 'N.Y., 1967-1968; M.P.A., University of Pittsburgh, Pittsburgh, Pa., 1970; \r', 'attended the University of Southern California, Los Angeles, Calif., 1978; \r', 'investment banker; comptroller and budget analyst, United States Department of \r', 'Health, Education, and Welfare, 1968-1974; policy specialist, Congressional \r', 'Research Service, Library of Congress, 1974-1976; staff, United States Senate \r', 'Committee on Appropriations, 1976-1979; member of the Alexandria, Va., city \r', 'council, 1979-1982; vice mayor of Alexandria, Va., 1982-1984; mayor of \r', 'Alexandria, Va., 1985-1990; elected as a Democrat to the One Hundred Second and \r', 'to the eleven succeeding Congresses (January 3, 1991-January 3, 2015); was not \r', 'a candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",M000933,1,0,0,0,0,0,0,0,0,0,0,1
"MULLIN, Markwayne","['a Representative from Oklahoma; born in Tulsa, Tulsa County, Okla., \r', 'July 26, 1977; graduated from Stillwell High School, Stillwell, Okla.; attended \r', 'Missouri Valley College, Marshall, Mo., 1996; A.A.S., Oklahoma State University \r', 'Institute of Technology, Okmulgee, Okla., 2010; business owner; plumber; \r', 'rancher; elected as a Republican to the One Hundred Thirteenth and to the two \r', 'succeeding Congresses (January 3, 2013-present).\r']",M001190,0,0,0,0,0,0,0,0,0,0,0,1
